43532532454325324532534;435432532543253252345324532;4354325432524354325342543253425432;
900;100;1000;
123;123;123;
123;11232132132123;123333333333333332222222222222223;
1;100;101;
111;222;333;
24525245453245325;24532543524524532;245325325325325325;
435325325325324532532;453253252435234553234543;4532523453253253253245;
43532532454325324532534;435432532543253252345324532;4354325432524354325342543253425432;
900;100;1000;
123;123;123;
123;11232132132123;123333333333333332222222222222223;
1;100;101;
111;222;333;
24525245453245325;24532543524524532;245325325325325325;
435325325325324532532;453253252435234553234543;4532523453253253253245;
43532532454325324532534;435432532543253252345324532;4354325432524354325342543253425432;
11111111111111111111;11111111111111111111;32222222222222222222;
11111111111111111111;11111111111111111111;32222222222222222222;
